pais,id_accidente,fecha,municipio,provincia,linea,operador,suceso_codigo,suceso_desc,causa_codigo,causa_desc,fallecidos,heridos_graves,heridos_leves,hora,pk,resumen,titulo_informe,informe_publico_url,organismo_investigador,num_paginas,fuente_datos,latitud,longitud,estado_investigacion,fecha_procesamiento
ES,ES-2008-220208-230508-CIAF,2008-02-22,Amurrio,,Casetas-Interm,Renfe,1.1,Colisión,2.4,Sin identificar,0,0,0,20:00,218+654,nº 0003/2008 ocurrido el 22.02.2008 SECRETARIA DE ESTADO,ID-220208-230508-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/ID-220208-230508-CIAF.pdf,CIAF,9,ERA,,,Completado,2026-07-06T13:13:35.598575
ES,ES-2008-12608,2008-01-26,"de A 
Rúa Petín",,La Coruña-León,Renfe,1.5.1.2,Arrollamiento en estación,1.1.6,Factor humano - Mantenimiento,0,0,0,18:27,,nº 0002/2008 ocurrido el 26.01.2008 SECRETARIA DE ESTADO,ID-260108-240608-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/ID-260108-240608-CIAF.pdf,CIAF,9,ERA,,,Completado,2026-07-06T13:13:35.651704
ES,ES-2008-010908-310309-CIAF,2008-09-01,"DUEÑAS 
 
 
 
 
 
 
 
 
 
 
 
 
 
 De acuerdo con el R",,,Renfe,1.1,Colisión,2.4,Sin identificar,3,0,0,17:12,,nº 0038/2008 ocurrido el 01.09.2008 SECRETARIA DE ESTADO,IF-010908-310309-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-010908-310309-CIAF.pdf,CIAF,15,ERA,,,Completado,2026-07-06T13:13:35.738664
ES,ES-2008-021008-281108-CIAF,2008-10-02,de Cistierna con destino León,,León,FEVE,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,18:12,53+725,nº 0046/2008 ocurrido el 02.10.2008 SECRETARIA DE ESTADO,IF-021008-281108-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-021008-281108-CIAF.pdf,CIAF,9,ERA,,,Completado,2026-07-06T13:13:35.793392
ES,ES-2008-475,2008-11-02,,,Tarragona-Barcelona,Renfe,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,22:10,170+925,nº 0056/2008 ocurrido el 02.11.2008 SECRETARIA DE ESTADO,IF-021108-240209-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-021108-240209-CIAF.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:35.852344
ES,ES-2008-030608-2-300908-CIAF,2008-06-03,El,,Alcázar de San Juan-Cádiz,Renfe,1.4.1.1,Accidente PN - Vehículo,2.3.3,Usuario paso a nivel,0,0,0,19:57,511+635,nº 0021/2008 ocurrido el 03.06.2008 SECRETARIA DE ESTADO,IF-030608-2-300908-CIAF_y Lora del Río.pdf,https://www.era.europa.eu/system/files/2023-07/IF-030608-2-300908-CIAF_y%20Lora%20del%20R%C3%ADo.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:35.918942
ES,ES-2008-440138,2008-06-03,Fi gueres,,Barcelona- Cerbere,Renfe,1.4.1.1,Accidente PN - Vehículo,2.4,Sin identificar,0,0,0,12:39,247+215,nº 0020/2008 ocurrido el 03.06.2008 SECRETARIA DE ESTADO,IF-030608-300908-CIAF_Barcelona-Cerbere.pdf,https://www.era.europa.eu/system/files/2023-07/IF-030608-300908-CIAF_Barcelona-Cerbere.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:35.979642
ES,ES-2008-15818,2008-11-03,Cardedeu,,Portbou Cerbere-Barcelona,Renfe,1.5.1.2,Arrollamiento en estación,2.1.1,Usuario ferroviario - Viajero,0,0,0,20:29,143+105,nº 0057/2008 ocurrido el 03.11.2008 SECRETARIA DE ESTADO,IF-031108-240209-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-031108-240209-CIAF.pdf,CIAF,9,ERA,,,Completado,2026-07-06T13:13:36.033527
ES,ES-2008-040708-190509-CIAF,2008-07-04,"SANT CELONI 
 
 
 
 
 
 
 
 
 
 
 
 
 De acuerdo con el R",,,,2,Incidente,2.4,Sin identificar,3,0,0,21:59,,nº 0040/2008 ocurrido el 04.07.2008 SECRETARIA DE ESTADO,IF-040708-190509-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-040708-190509-CIAF.pdf,CIAF,14,ERA,,,Completado,2026-07-06T13:13:36.128151
ES,ES-2008-309,2008-07-05,Medina del Campo donde no tenía prescrita parada,,,pública,1.3.2,Descarrilamiento en estación,2.4,Sin identificar,0,0,0,11:56,206+300,nº 0029/2008 ocurrido el 05.07.2008 SECRETARIA DE ESTADO,IF-050708-181208-CIAF.pdf,https://www.era.europa.eu/system/files/2023-07/IF-050708-181208-CIAF.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:36.188505
